Event,Yes,Unsure
Not Engaged,73,92
Financial Donation,37,128
Utilized MPF Staff for a Reference,13,152
Connected with a Current Fellow,13,152
Attended the Fall Alumni Re-Treat,11,154
Participated in FAM,15,150
Advisory Board,2,163
Served as a Trainer of Panelist,6,159
Other,28,137
