Event,Yes,Unsure
Fundraising Committee Member,12,153
Event Planning Committee Member,20,145
Facilitate Workshop or Training,37,128
Call-A-Thon,1,164
Fellow Mentoring,58,107
Host MPF Events/Monthly Meetings,8,157
Skill-based Remote Volunteer,19,146
Sharing Skills at Fundraising Event,8,157
Sitting on Alumni Panel,84,81
Volunteer at MPF Events,41,124
